organization,team_slug,user_name,total_pulls,merged_pulls,internal_reviews,external_reviews,comments_avg_length,commits_count,lines_added,lines_removed,from,to
github-stats-22,gs-internal,mikededo,1,0,0,4,24,1,2,1,01/12/2022,01/01/2023
github-stats-22,gs-internal,mikededo,39,35,0,20,123,213,6106,6952,01/12/2022,01/01/2023
github-stats-22,gs-internal,plozanol,9,7,10,0,361,58,1112,1756,01/12/2022,01/01/2023
github-stats-22,gs-internal,manerow,15,14,0,12,0,61,3281,2433,01/12/2022,01/01/2023
github-stats-22,gs-internal,sdomingobasora,16,12,9,0,190,60,1389,319,01/12/2022,01/01/2023
github-stats-22,gs-internal,cjp4,2,1,0,0,0,4,200,360,01/12/2022,01/01/2023
github-stats-22,gs-external,mikededo,39,35,20,0,171,213,6106,6952,01/12/2022,01/01/2023
github-stats-22,gs-external,plozanol,9,7,0,5,351,58,1112,1756,01/12/2022,01/01/2023
github-stats-22,gs-external,sdomingobasora,16,12,0,9,203,60,1389,319,01/12/2022,01/01/2023
github-stats-22,gs-external,manerow,15,14,8,0,200,61,3281,2433,01/12/2022,01/01/2023
github-stats-22,gs-external,cjp4,2,1,0,0,0,4,200,360,01/12/2022,01/01/2023
github-stats-22,gs-developers,mikededo,39,35,18,0,133,213,6106,6952,01/12/2022,01/01/2023
github-stats-22,gs-developers,plozanol,9,7,12,0,325,58,1112,1756,01/12/2022,01/01/2023
github-stats-22,gs-developers,sdomingobasora,16,12,11,0,205,60,1389,319,01/12/2022,01/01/2023
github-stats-22,gs-developers,manerow,15,14,16,0,261,61,3281,2433,01/12/2022,01/01/2023
github-stats-22,gs-developers,cjp4,2,1,0,0,0,4,200,360,01/12/2022,01/01/2023
